GeoglowsID,Order,StationID,AssignedID,AssignmentReason
9002953,5,25027410.0,25027410.0,spatial
9002962,1,,,
9002965,2,,,
9002981,1,,,
9002982,1,,,
9002985,1,,,
9002987,1,,,
9002988,5,25027640.0,25027640.0,spatial
9002993,4,,,
9002995,2,,,
9002997,1,,,
9003002,4,,,
9003007,3,,,
9003011,2,,,
9003012,3,,,
9003015,2,,,
9003016,1,,,
9003019,1,,,
9003020,1,,,
9003024,1,,,
9003058,2,,,
9003068,2,,,
9003083,2,,,
9003091,5,,25027200.0,Propagation-3
9003094,2,,,
9003095,3,,,
9003102,1,,,
9003111,3,,,
9003114,2,,,
9003126,1,,,
9003127,2,,,
9003137,2,,,
9003139,1,,,
9003151,2,,,
9003152,3,,,
9003156,2,,,
9003157,1,,,
9003161,4,,,
9003171,1,,,
9003176,1,,,
9003185,1,,,
9003186,1,,,
9003189,1,,,
9003204,1,,,
9003209,5,,,
9003215,1,,,
9003237,1,,,
9003238,3,,,
9003245,5,,,
9003246,1,,,
9003247,3,,,
9003248,2,,,
9003253,1,,,
9003256,1,,,
9003269,2,,,
9003270,1,,,
9003284,1,,,
9003300,5,,25027640.0,Propagation-1
9003315,1,,,
9003316,5,,,
9003331,3,,,
9003332,3,,,
9003339,1,,,
9003340,3,,,
9003342,4,,25027120.0,Propagation-2
9003344,1,,,
9003368,1,,,
9003374,1,,,
9003375,1,,,
9003378,5,,,
9003386,1,,,
9003393,1,,,
9003396,3,,,
9003397,5,25027200.0,25027200.0,spatial
9003408,1,,,
9003409,3,,,
9003442,1,,,
9003448,2,,,
9003458,2,,,
9003459,2,,,
9003460,1,,,
9003476,3,,,
9003477,2,,,
9003495,5,,25027200.0,Propagation-2
9003496,1,,,
9003498,1,,,
9003499,1,,,
9003508,2,25027910.0,25027910.0,spatial
9003512,2,,,
9003514,1,,,
9003526,1,,,
9003528,1,,,
9003532,2,,,
9003537,5,,25027020.0,Propagation-3
9003540,1,,,
9003541,5,,23217030.0,Propagation-3
9003548,3,,,
9003551,1,,,
9003559,1,,,
9003562,1,,,
9003563,1,,,
9003571,5,,25027270.0,Propagation-3
9003581,5,,23217030.0,Propagation-2
9003615,1,,,
9003620,1,,,
9003630,2,,,
