HydroID,NextDownID,DrainID,COMID,Shape_Leng,Tot_Drain_,LENGTH_GEO,Musk_kfac,Musk_k,Musk_x,order_,Aera_km2,Shape_Le_1
9015204,9015203,15700,9015204,1595.42801,70984038.2,1.59052552,5725.89186,2004.06215,0.3,1,277383.994,1595.42801
9015209,9015016,11171,9015209,13846.4997,186035382,13.7742814,49587.413,17355.5945,0.3,1,277383.994,13846.4997
9015218,9014991,11451,9015218,15722.5209,818852490,15.6337758,56281.593,19698.5576,0.3,2,277383.994,15722.5209
9015224,9015218,11448,9015224,32678.8972,474687254,32.5512293,117184.425,41014.5489,0.3,2,277383.994,32678.8972
9015284,9015203,15703,9015284,4493.14188,1.49E+10,4.46314856,16067.3348,5623.56719,0.3,4,277383.994,4493.14188
9015299,9015284,15705,9015299,672.473976,1.47E+10,0.66845857,2406.45087,842.257803,0.3,4,277383.994,672.473976
9015320,9015284,15706,9015320,2175.35231,105565617,2.16537208,7795.33949,2728.36882,0.3,1,277383.994,2175.35231
9015323,9015065,11169,9015323,18087.4747,926694392,17.9904476,64765.6115,22667.964,0.3,2,277383.994,18087.4747
9015339,9015323,15417,9015339,7278.14793,633845957,7.25408904,26114.7206,9140.1522,0.3,2,277383.994,7278.14793
9015356,9015299,15707,9015356,5321.69549,97706906.6,5.29919126,19077.0886,6676.98099,0.3,1,277383.994,5321.69549
9015376,9015503,15414,9015376,9845.82329,134093989,9.80049741,35281.7907,12348.6267,0.3,1,277383.994,9845.82329
9015397,9015503,15423,9015397,1746.09828,70634531.3,1.73952562,6262.29225,2191.80229,0.3,1,277383.994,1746.09828
9015398,9015339,15418,9015398,23376.1493,249149580,23.2812107,83812.3585,29334.3255,0.3,1,277383.994,23376.1493
9015441,9015323,15425,9015441,8452.77176,184524847,8.41712884,30301.6638,10605.5823,0.3,1,277383.994,8452.77176
9015466,9015218,15713,9015466,20427.4908,240993490,20.3298197,73187.351,25615.5729,0.3,1,277383.994,20427.4908
9015503,9015504,15420,9015503,14162.7614,357544122,14.1145163,50812.2585,17784.2905,0.3,2,277383.994,14162.7614
9015504,9015065,11168,9015504,24702.1105,3659570670,24.5515368,88385.5326,30934.9364,0.3,3,277383.994,24702.1105
9015505,9015168,11453,9015505,42643.8998,301101588,42.4661575,152878.167,53507.3584,0.3,1,277383.994,42643.8998
9015592,9015299,15718,9015592,13179.9763,1.46E+10,13.1011705,47164.2139,16507.4749,0.3,4,277383.994,13179.9763
9015599,9015740,15429,9015599,5006.67673,142550935,4.99292657,17974.5356,6291.08747,0.3,1,277383.994,5006.67673
9015610,9015920,15719,9015610,772.750931,69513084.5,0.77097527,2775.51097,971.428841,0.3,1,277383.994,772.750931
9015611,9015920,11447,9015611,23483.1176,292319876,23.3410787,84027.8834,29409.7592,0.3,1,277383.994,23483.1176
9015616,9015740,15431,9015616,942.521462,69844815.3,0.93967258,3382.82128,1183.98745,0.3,1,277383.994,942.521462
9015670,9015592,15721,9015670,3470.99352,1074439339,3.45012848,12420.4625,4347.16189,0.3,2,277383.994,3470.99352
9015688,9015339,15434,9015688,21647.456,334197901,21.5458889,77565.1999,27147.82,0.3,2,277383.994,21647.456
9015695,9014985,11170,9015695,35825.7661,330111675,35.6043367,128175.612,44861.4643,0.3,1,277383.994,35825.7661
9015713,9015688,15435,9015713,1614.82762,82198171.1,1.60868388,5791.26196,2026.94169,0.3,1,277383.994,1614.82762
9015731,9015504,15436,9015731,9285.85733,3118672681,9.22890485,33224.0575,11628.4201,0.3,3,277383.994,9285.85733
9015738,9015968,15704,9015738,19396.6238,243074387,19.2795278,69406.3001,24292.205,0.3,1,277383.994,19396.6238
9015740,9015925,15430,9015740,6614.51497,240275757,6.58112956,23692.0664,8292.22325,0.3,2,277383.994,6614.51497
9015741,9015968,15725,9015741,2635.03881,72379169.3,2.62899061,9464.36621,3312.52817,0.3,1,277383.994,2635.03881
9015770,9015731,15440,9015770,1437.59333,2675804502,1.42962538,5146.65137,1801.32798,0.3,3,277383.994,1437.59333
9015773,9015770,15439,9015773,3392.01431,2585675975,3.38338132,12180.1728,4263.06047,0.3,3,277383.994,3392.01431
9015797,9016272,15714,9015797,16851.0794,174411848,16.7676522,60363.5479,21127.2418,0.3,1,277383.994,16851.0794
9015798,9016272,15709,9015798,19247.4762,183047862,19.1411194,68908.0298,24117.8104,0.3,1,277383.994,19247.4762
9015815,9015773,15441,9015815,8038.85806,125998614,8.00887293,28831.9426,10091.1799,0.3,1,277383.994,8038.85806
9015823,9015670,15729,9015823,5750.69419,835371718,5.7169589,20581.052,7203.36821,0.3,2,277383.994,5750.69419
9015840,9015925,15444,9015840,4963.93971,91009118.5,4.93997643,17783.9151,6224.3703,0.3,1,277383.994,4963.93971
9015841,9015592,15731,9015841,18969.3884,1.34E+10,18.8904161,68005.4979,23801.9243,0.3,4,277383.994,18969.3884
9015918,9015770,15446,9015918,7582.55053,87716224.9,7.54731619,27170.3383,9509.6184,0.3,1,277383.994,7582.55053
9015919,9015688,15447,9015919,10557.0959,117558887,10.5025385,37809.1387,13233.1985,0.3,1,277383.994,10557.0959
9015920,9015967,15720,9015920,13101.5371,442896510,13.0285012,46902.6044,16415.9115,0.3,2,277383.994,13101.5371
9015925,9015967,15438,9015925,24000.5702,469938268,23.9030878,86051.1162,30117.8907,0.3,2,277383.994,24000.5702
9015928,9015823,15736,9015928,5382.98571,147072256,5.35694708,19285.0095,6749.75332,0.3,1,277383.994,5382.98571
